generation,opponent_mode,best_fitness,avg_fitness,worst_fitness,height,holes,bumpiness,lines,max_height,wells,row_transitions,column_transitions,garbage_pressure,attack_bonus,danger_aggression,survival_height,tetris_bonus,line_efficiency
1,solo_opponents,75.8900,49.6352,26.0050,0.1359,0.3156,0.2084,0.4946,0.1345,0.8704,0.7203,0.5717,0.4075,0.4103,0.4098,0.9378,0.3153,0.9306
2,solo_opponents,81.4800,58.3768,26.0300,0.1359,0.4902,0.0111,0.5083,0.5302,0.8704,0.6085,0.5717,0.3093,0.5007,0.4098,0.9374,0.1493,0.9193
3,solo_opponents,78.8200,67.6857,49.0850,0.3301,0.3631,0.2335,0.8291,0.1134,0.7652,0.7203,0.9355,0.4259,0.1611,0.1233,0.0917,0.1449,0.9306
4,solo_opponents,82.8150,63.6168,33.3867,0.3665,0.5557,0.0705,0.5083,0.6595,0.8704,0.7092,0.7600,0.0000,0.5007,0.4034,0.9596,0.7030,0.2189
5,solo_opponents,80.0833,66.2301,51.0467,0.3301,0.3631,0.2335,0.8291,0.1795,0.7652,0.7203,0.7378,0.4259,0.1611,0.1233,0.0917,0.1449,0.9306
6,solo_opponents,84.0750,65.6218,32.8617,0.3301,0.2749,0.2335,0.8291,0.1795,0.7652,0.7203,0.7378,0.4259,0.1611,0.1233,0.0917,0.0324,0.9306
7,solo_opponents,87.5933,68.7139,28.3867,0.1222,0.5587,0.0000,0.4779,0.1165,0.7616,0.5226,0.4443,0.4259,0.1447,0.5293,0.0000,0.6977,0.9306
8,solo_opponents,81.6067,65.5315,21.3683,0.3324,0.5766,0.0000,0.7334,0.1165,0.9766,0.7203,0.6584,0.4259,0.4974,0.4157,0.0000,0.5300,0.9281
9,solo_opponents,81.0067,69.2965,43.2300,0.1222,0.5766,0.0000,0.7334,0.1165,0.9766,0.5226,0.6584,0.4259,0.1447,0.3835,0.0000,0.6977,0.5783
10,solo_opponents,81.3333,70.7266,45.5400,0.0000,0.5766,0.1733,0.7716,0.1165,0.9766,0.5934,0.6584,0.4259,0.5768,0.1110,0.0000,0.5300,0.9281
11,solo_opponents,83.5533,68.6815,50.0900,0.0608,0.7416,0.0000,0.9377,0.3414,0.8092,0.5783,0.6584,0.4259,0.0393,0.4788,0.0000,0.8197,0.7848
12,solo_opponents,87.9533,69.1138,28.3600,0.0608,0.7416,0.0000,0.9377,0.3414,0.8092,0.5783,0.6584,0.4259,0.0393,0.4788,0.0000,0.8197,0.7848
13,solo_opponents,85.2567,72.3089,28.5783,0.0186,1.1155,0.0179,0.8592,0.1165,1.1647,0.7203,0.6682,0.2270,0.0496,0.3139,0.3967,0.6634,0.9281
14,solo_opponents,84.6533,68.6510,38.9200,0.1799,1.0920,0.0166,0.2928,0.1821,1.1932,0.7038,0.6846,0.6506,0.4951,0.3835,0.0652,0.1273,0.7435
15,solo_opponents,82.8933,71.0058,50.7350,0.1799,1.0920,0.0166,0.2928,0.1821,1.1932,0.7038,0.6846,0.6506,0.4951,0.3835,0.0652,0.1273,0.7435
